Sl No.,Finacial Year,BBMP Zone,BBMP Ward,Ward Number,No of Applications,Total Collection (Amount in lakhs),Latitude,Longitude
1,2016-2017,Yelahanka,Kempegowda Ward,1,6637,658.15,13.1007,77.5963
2,2016-2017,Yelahanka,Chowdeshwari Ward,2,8686,428.36,13.095,77.57
3,2016-2017,Yelahanka,Attur,3,15185,731.70,13.115,77.595
4,2016-2017,Yelahanka,Yelahanka Satellite town,4,9488,809.71,13.11,77.605
5,2016-2017,Yelahanka,Jakkur,5,18760,1290.44,13.082,77.592
6,2016-2017,Yelahanka,Thanisandra,6,17490,5882.86,13.065,77.62
7,2016-2017,Yelahanka,Byatarayanapura,7,16399,1729.75,13.068,77.571
8,2016-2017,Yelahanka,Kodigehalli,8,8486,642.40,13.046,77.576
9,2016-2017,Yelahanka,Vidyaranyapura,9,14591,873.14,13.06,77.553
10,2016-2017,Yelahanka,Doddabommasandra,10,5339,453.85,13.118,77.583
11,2016-2017,Yelahanka,Kuvempunagar,11,6446,254.47,13.075,77.605
12,2016-2017,Dasarahalli,Shettyhalli,12,13924,659.09,13.054,77.543
13,2016-2017,Dasarahalli,Mallasandra,13,5155,232.44,13.06,77.515
14,2016-2017,Dasarahalli,Bagalagunte,14,12626,906.72,13.05,77.53
15,2016-2017,Dasarahalli,T. Dasarahalli,15,3779,238.90,13.04,77.522
16,2016-2017,RR Nagara,Jalahalli,16,3907,538.98,13.022,77.543
17,2016-2017,RR Nagara,J.P.Park,17,7485,635.39,13.018,77.565
18,2016-2017,East,Radhakrishna Temple Ward,18,6931,793.27,13.01,77.635
19,2016-2017,East,Sanjaynagar,19,5354,480.32,13.02,77.6
20,2016-2017,East,Ganganagar,20,3179,408.54,13.038,77.605
21,2016-2017,East,Hebbal,21,4370,346.23,13.035,77.595
22,2016-2017,East,Vishwanatha Nagenahalli,22,7279,456.66,13.048,77.549
23,2016-2017,East,Nagavara,23,7049,500.41,13.053,77.625
24,2016-2017,East,HBR Layout,24,12099,955.22,13.033,77.641
25,2016-2017,Mahadevapura,Horamavu,25,32691,1984.77,13.032,77.656
26,2016-2017,Mahadevapura,Ramamurthynagar,26,14763,615.64,13.018,77.664
27,2016-2017,East,Banasawadi,27,10389,1111.98,13.021,77.649
28,2016-2017,East,Kammanahalli,28,4998,300.01,13.009,77.641
29,2016-2017,East,Kacharakanahalli,29,6894,707.90,13.005,77.63
30,2016-2017,East,Kadugondanahalli,30,3603,145.86,12.99,77.628
31,2016-2017,East,Kushalnagar,31,3140,125.97,13.015,77.665
32,2016-2017,East,Kavalbyrasandra,32,6307,411.78,13.0,77.618
33,2016-2017,East,Manorayanapalya,33,4135,331.41,13.027,77.53
34,2016-2017,East,Gangenahalli,34,2548,315.43,13.015,77.615
35,2016-2017,West,Aramane Nagar,35,5242,1198.13,13.008,77.578
36,2016-2017,West,Mathikere,36,4205,366.70,13.015,77.568
37,2016-2017,RR Nagara,Yeshwanthpur,37,3499,246.73,13.023,77.556
38,2016-2017,RR Nagara,H.M.T,38,5141,1612.62,13.06,77.524
39,2016-2017,Dasarahalli,Chokkasandra,39,7821,1015.76,13.052,77.538
40,2016-2017,RR Nagara,Doddabidarakallu,40,24733,720.57,13.057,77.509
41,2016-2017,Dasarahalli,Peenya Industrial Area,41,6029,1584.02,13.031,77.52
42,2016-2017,RR Nagara,Lakshmidevinagar,42,2545,425.87,13.01,77.508
43,2016-2017,West,Nandini Layout,43,5765,387.02,13.037,77.532
44,2016-2017,West,Marappanahalli,44,4630,868.20,13.032,77.558
45,2016-2017,West,Malleshwaram,45,4420,535.35,13.003,77.57
46,2016-2017,East,Jayachamarajendra Nagar,46,4268,369.41,12.994,77.62
47,2016-2017,East,Devarajeevanahalli,47,1209,46.50,12.986,77.623
48,2016-2017,East,Muneshwaranagar,48,1709,56.78,12.987,77.615
49,2016-2017,East,Lingarajapura,49,4224,219.12,12.98,77.645
50,2016-2017,East,Benniganahalli,50,6545,1071.81,12.992,77.673
51,2016-2017,Mahadevapura,Vijinapura,51,5230,323.49,12.998,77.695
52,2016-2017,Mahadevapura,K.R.Puram,52,6768,422.62,13.0052,77.6927
53,2016-2017,Mahadevapura,Basavanapura,53,10083,405.09,13.005,77.708
54,2016-2017,Mahadevapura,Hoodi,54,16058,3723.87,12.998,77.708
55,2016-2017,Mahadevapura,Devasandra,55,2556,675.89,13.012,77.718
56,2016-2017,Mahadevapura,A. Narayanapura,56,5871,358.30,13.02,77.705
57,2016-2017,East,C.V. Ramannagar,57,12031,1089.91,12.978,77.62
58,2016-2017,East,Hosathippasandra,58,7637,2163.04,13.0,77.638
59,2016-2017,East,Maruthiseva Nagar,59,5750,540.87,12.99,77.638
60,2016-2017,East,Sagayapuram,60,2548,179.41,12.978,77.632
61,2016-2017,East,S.K. Garden,61,2258,99.11,12.972,77.631
62,2016-2017,East,Ramaswamy palya,62,3097,258.19,12.982,77.638
63,2016-2017,East,Jayamahal,63,3120,440.14,13.008,77.595
64,2016-2017,West,Rajmahal,64,3889,368.38,13.003,77.587
65,2016-2017,West,Kadumalleshwara,65,6622,891.68,13.01,77.56
66,2016-2017,West,Subramanyanagar,66,5143,1129.60,12.99,77.55
67,2016-2017,West,Nagapura,67,4884,831.13,13.005,77.538
68,2016-2017,West,Mahalakshmipuram,68,4538,332.54,12.999,77.523
69,2016-2017,RR Nagara,Laggere,69,6185,236.47,13.01,77.512
70,2016-2017,Dasarahalli,Rajagopalanagar,70,7035,424.21,13.022,77.508
71,2016-2017,Dasarahalli,Hegganahalli,71,6102,426.13,13.052,77.516
72,2016-2017,RR Nagara,Herohalli,72,15897,483.13,13.035,77.503
73,2016-2017,RR Nagara,Kottigepalya,73,12526,806.68,13.02,77.498
74,2016-2017,West,Shakthiganapathi nagar,74,4210,282.88,12.978,77.55
75,2016-2017,West,Shankaramata,75,5511,397.87,12.968,77.562
76,2016-2017,West,Gayathrinagar,76,3795,341.79,12.982,77.57
77,2016-2017,West,Dattathreya Temple,77,4187,622.14,13.005,77.565
78,2016-2017,East,Pulikeshinagar,78,4353,503.33,12.992,77.612
79,2016-2017,East,Sarvagnanagar,79,3247,489.74,12.994,77.605
80,2016-2017,East,Hoysalanagar,80,5514,1400.86,13.01,77.655
81,2016-2017,Mahadevapura,Vignananagar,81,12948,806.99,12.999,77.705
82,2016-2017,Mahadevapura,Garudacharpalya,82,8149,3870.73,12.987,77.686
83,2016-2017,Mahadevapura,Kadugodi,83,8747,707.12,12.9988,77.7394
84,2016-2017,Mahadevapura,Hagadooru,84,13567,2024.25,13.035,77.718
85,2016-2017,Mahadevapura,Doddanekkundi,85,22637,5357.70,12.985,77.709
86,2016-2017,Mahadevapura,Marathalli,86,5450,1349.83,12.9591,77.7009
87,2016-2017,Mahadevapura,HAL Airport,87,3583,198.10,12.95,77.668
88,2016-2017,East,Jeevanbhimanagar,88,5129,1125.63,12.97,77.645
89,2016-2017,East,Jogupalya,89,4846,597.71,12.968,77.629
90,2016-2017,East,Ulsoor,90,5294,1897.44,12.981,77.6197
91,2016-2017,East,Bharathinagar,91,4614,345.90,12.985,77.605
92,2016-2017,East,Shivajinagar,92,3267,222.29,12.978,77.6
93,2016-2017,East,Vasanthnagar,93,6146,2839.82,12.9927,77.5862
94,2016-2017,West,Gandhinagar,94,5561,1731.78,12.977,77.575
95,2016-2017,West,Subhashnagar,95,2433,891.49,12.971,77.568
96,2016-2017,West,Okalipuram,96,2561,241.94,12.973,77.558
97,2016-2017,West,Dayanandanagar,97,2801,215.07,13.02,77.556
98,2016-2017,West,Prakashnagar,98,2866,339.20,12.99,77.548
99,2016-2017,West,Rajajinagar,99,3362,428.18,13.005,77.55
100,2016-2017,West,Basaveshwaranagar,100,3564,436.86,12.99,77.536
101,2016-2017,West,Kamakshipalya,101,3157,356.18,12.972,77.535
102,2016-2017,West,Vrushabhavathinagar,102,4910,372.52,12.96,77.528
103,2016-2017,West,Kaveripura,103,5437,455.21,12.953,77.518
104,2016-2017,West,Govindrajnagara,104,2834,432.30,12.962,77.542
105,2016-2017,West,Agrahara Dasarahalli,105,3138,354.09,13.04,77.522
106,2016-2017,West,Dr. Rajkumar Ward,106,2709,591.23,12.985,77.531
107,2016-2017,West,Shivanagar,107,3855,454.16,12.985,77.531
108,2016-2017,West,Srirammandira ward,108,4427,887.82,12.976,77.546
109,2016-2017,West,Chikpet,109,9163,1752.65,12.968,77.573
110,2016-2017,East,Sampangiramnagar,110,6499,2996.59,12.962,77.593
111,2016-2017,East,Shanthala Nagar,111,9625,8157.15,12.976,77.605
112,2016-2017,East,Domlur,112,5539,1528.70,12.96,77.638
113,2016-2017,East,Konena Agrahara,113,8409,1627.34,12.97,77.678
114,2016-2017,East,Agaram,114,1990,228.32,12.972,77.652
115,2016-2017,East,Vannarpet,115,3273,176.16,12.964,77.585
116,2016-2017,East,Neelasandra,116,1292,79.84,12.956,77.593
117,2016-2017,East,Shanthinagar,117,4969,715.68,12.962,77.597
118,2016-2017,South,Sudham Nagara,118,2946,1228.86,12.962,77.576
119,2016-2017,South,Dharmaraya Swamy Temple Ward,119,7529,1459.72,12.958,77.574
120,2016-2017,West,Cottonpet,120,4778,512.04,12.968,77.568
121,2016-2017,West,Binnypet,121,2775,381.44,12.964,77.564
122,2016-2017,South,Kempapura Agrahara,122,2458,132.91,12.956,77.565
123,2016-2017,South,Vijaynagar,123,3870,342.55,12.962,77.532
124,2016-2017,South,Hosahalli,124,3529,304.93,12.955,77.536
125,2016-2017,West,Marenahalli,125,3350,329.79,13.13,77.65
126,2016-2017,West,Maruthi Mandira Ward,126,3897,346.09,12.972,77.55
127,2016-2017,West,Moodalapalya,127,5526,358.00,12.96,77.515
128,2016-2017,West,Nagarabhavi,128,4713,342.62,12.956,77.501
129,2016-2017,RR Nagara,Jnanabharathi ward,129,18333,1070.86,12.937,77.513
130,2016-2017,RR Nagara,Ullalu,130,15320,573.12,12.93,77.52
131,2016-2017,West,Nayandanahalli,131,2881,235.32,12.95,77.527
132,2016-2017,South,Attiguppe,132,5534,495.58,12.955,77.548
133,2016-2017,South,Hampinagar,133,4155,449.56,12.965,77.529
134,2016-2017,South,Bapujinagar,134,2981,224.84,12.948,77.548
135,2016-2017,West,Padarayanapura,135,1314,95.80,12.954,77.559
136,2016-2017,West,Jagareevanram Nagar,136,1347,182.37,12.951,77.552
137,2016-2017,West,Rayapuram,137,2075,80.03,12.962,77.567
138,2016-2017,West,Chalavadipalya,138,542,20.39,12.965,77.561
139,2016-2017,West,K.R. Market,139,2180,317.94,12.968,77.576
140,2016-2017,West,Chamrajpet,140,3893,702.27,12.964,77.565
141,2016-2017,West,Azadnagar,141,3126,194.72,12.964,77.542
142,2016-2017,South,Sunkenahalli,142,5656,1008.65,12.942,77.575
143,2016-2017,South,Vishveshwarapuram,143,5549,876.97,12.949,77.584
144,2016-2017,South,Siddapura,144,2177,219.59,12.948,77.598
145,2016-2017,South,Hombegowdanagar,145,4380,855.81,12.938,77.585
146,2016-2017,South,Lakkasandra,146,2691,1099.78,12.921,77.608
147,2016-2017,South,Adugodi,147,2489,360.84,12.938,77.625
148,2016-2017,South,Ejipura,148,7660,987.40,12.948,77.635
149,2016-2017,Mahadevapura,Varthur,149,14829,1771.85,12.9366,77.747
150,2016-2017,Mahadevapura,Bellandur,150,25929,8600.71,12.9304,77.6697
151,2016-2017,South,Koramangala,151,8212,2553.78,12.9352,77.6245
152,2016-2017,South,Sudduguntepalya,152,4754,1828.86,12.928,77.615
153,2016-2017,South,Jayangar,153,4574,730.80,12.925,77.593
154,2016-2017,South,Basavanagudi,154,5551,600.79,12.942,77.575
155,2016-2017,South,Hanumanthanagar,155,3410,245.15,12.935,77.57
156,2016-2017,South,Srinagar,156,4327,332.66,12.932,77.562
157,2016-2017,South,Gali Anjaneya swamy Temple Ward,157,3635,484.58,13.015,77.54
158,2016-2017,South,Deepanjali Nagar,158,4246,577.21,12.93,77.542
159,2016-2017,RR Nagara,Kengeri,159,6468,326.00,12.9149,77.4837
160,2016-2017,RR Nagara,Rajarajeshwarinagar,160,18668,1609.49,12.927,77.518
161,2016-2017,South,Hosakerehalli,161,5927,364.90,12.918,77.539
162,2016-2017,South,Girinagar,162,5990,574.17,12.928,77.568
163,2016-2017,South,Katriguppe,163,5559,604.70,12.918,77.57
164,2016-2017,South,Vidyapeetha Ward,164,5264,458.93,12.931,77.563
165,2016-2017,South,Ganeshmandira Ward,165,4938,782.55,12.918,77.58
166,2016-2017,South,Karisandra,166,2820,628.12,12.92,77.596
167,2016-2017,South,Yadiyuru,167,4811,858.43,12.912,77.592
168,2016-2017,South,Pattabhiramnagar,168,5599,1282.12,12.92,77.596
169,2016-2017,South,Byrasandra,169,3940,699.30,12.918,77.605
170,2016-2017,South,Jayanagar East,170,3792,716.38,12.922,77.603
171,2016-2017,South,Gurappanapalya,171,3508,381.78,12.915,77.608
172,2016-2017,South,Madiwala,172,4337,726.68,12.92,77.625
173,2016-2017,South,Jakkasandra,173,3132,409.46,12.918,77.62
174,2016-2017,Bommanahalli,HSR Layout,174,14578,2562.08,12.9141,77.6421
175,2016-2017,Bommanahalli,Bommanahalli,175,6814,717.55,12.899,77.641
176,2016-2017,South,BTM Layout,176,8264,1426.27,12.9165,77.6101
177,2016-2017,South,J.P.Nagar,177,4930,1371.66,12.901,77.585
178,2016-2017,South,Sarakki,178,4951,711.89,12.903,77.589
179,2016-2017,South,Shakambarinagar,179,5573,869.04,12.908,77.575
180,2016-2017,South,Banashankari Temple Ward,180,1527,119.15,12.898,77.575
181,2016-2017,South,Kumaraswamylayout,181,8033,699.20,12.901,77.584
182,2016-2017,South,Padmanabhanagar,182,7261,637.61,12.9,77.57
183,2016-2017,South,Chikkallasandra,183,5726,490.40,12.892,77.57
184,2016-2017,Bommanahalli,Uttarahalli,184,16561,745.50,12.889,77.544
185,2016-2017,Bommanahalli,Yelachenahalli,185,6246,498.95,12.885,77.585
186,2016-2017,Bommanahalli,Jaraganahalli,186,4730,531.45,12.878,77.598
187,2016-2017,Bommanahalli,Puttenahalli,187,10843,2033.39,12.88,77.61
188,2016-2017,Bommanahalli,Bilekahalli,188,12456,1065.64,12.895,77.62
189,2016-2017,Bommanahalli,Hongasandra,189,7168,1007.75,12.892,77.63
190,2016-2017,Bommanahalli,Mangammanapalya,190,9679,1065.35,12.898,77.648
191,2016-2017,Bommanahalli,Singasandra,191,15001,1097.84,12.881,77.64
192,2016-2017,Bommanahalli,Begur,192,28121,1648.63,12.868,77.639
193,2016-2017,Bommanahalli,Arakere,193,13616,1254.90,12.884,77.619
194,2016-2017,Bommanahalli,Gottigere,194,11813,634.02,12.848,77.604
195,2016-2017,Bommanahalli,Konanakunte,195,15498,985.94,12.898,77.566
196,2016-2017,Bommanahalli,Anjanapura,196,8304,381.56,12.867,77.576
197,2016-2017,Bommanahalli,Vasanthapura,197,13624,956.57,12.88,77.56
198,2016-2017,RR Nagara,Hemmigepura,198,19002,1681.38,12.905,77.501
199,2017-2018,Yelahanka,Kempegowda Ward,1,4647,376.77,13.1007,77.5963
200,2017-2018,Yelahanka,Chowdeshwari Ward,2,8934,403.46,13.095,77.57
201,2017-2018,Yelahanka,Attur,3,17327,804.92,13.115,77.595
202,2017-2018,Yelahanka,Yelahanka Satellite town,4,9702,777.08,13.11,77.605
203,2017-2018,Yelahanka,Jakkur,5,22280,1328.98,13.082,77.592
204,2017-2018,Yelahanka,Thanisandra,6,17856,5947.91,13.065,77.62
205,2017-2018,Yelahanka,Byatarayanapura,7,16744,2098.85,13.068,77.571
206,2017-2018,Yelahanka,Kodigehalli,8,8150,583.72,13.046,77.576
207,2017-2018,Yelahanka,Vidyaranyapura,9,14847,878.68,13.06,77.553
208,2017-2018,Yelahanka,Doddabommasandra,10,5339,481.57,13.118,77.583
209,2017-2018,Yelahanka,Kuvempunagar,11,6858,266.22,13.075,77.605
210,2017-2018,Dasarahalli,Shettyhalli,12,13051,575.76,13.054,77.543
211,2017-2018,Dasarahalli,Mallasandra,13,4910,215.77,13.06,77.515
212,2017-2018,Dasarahalli,Bagalagunte,14,12965,923.81,13.05,77.53
213,2017-2018,Dasarahalli,T. Dasarahalli,15,3743,251.88,13.04,77.522
214,2017-2018,RR Nagara,Jalahalli,16,3878,567.66,13.022,77.543
215,2017-2018,RR Nagara,J.P.Park,17,7182,579.29,13.018,77.565
216,2017-2018,East,Radhakrishna Temple Ward,18,6687,739.14,13.01,77.635
217,2017-2018,East,Sanjaynagar,19,5299,454.67,13.02,77.6
218,2017-2018,East,Ganganagar,20,3203,375.91,13.038,77.605
219,2017-2018,East,Hebbal,21,4506,381.65,13.035,77.595
220,2017-2018,East,Vishwanatha Nagenahalli,22,6967,449.34,13.048,77.549
221,2017-2018,East,Nagavara,23,7077,575.85,13.053,77.625
222,2017-2018,East,HBR Layout,24,12115,1002.27,13.033,77.641
223,2017-2018,Mahadevapura,Horamavu,25,31757,1851.53,13.032,77.656
224,2017-2018,Mahadevapura,Ramamurthynagar,26,14129,606.42,13.018,77.664
225,2017-2018,East,Banasawadi,27,10264,1119.90,13.021,77.649
226,2017-2018,East,Kammanahalli,28,4690,256.06,13.009,77.641
227,2017-2018,East,Kacharakanahalli,29,6855,684.27,13.005,77.63
228,2017-2018,East,Kadugondanahalli,30,3121,116.51,12.99,77.628
