"Name","Type","Latitude","Longitude","Address"
"Banashankari Referral Hospital","hospital","12.9231342","77.5642974","17Th, Main,27Th Cross, Banashankari 2nd Stage, South"
"Bangalore Kidney Foundation - NU Hospital","hospital","12.9179548","77.555816",""
"Panacea Hospital, Nagarabhavi","hospital","12.9613237","77.511726","# 611 /612, Nagarabhavi Main Road"
"Shanbhag Hospital","hospital","12.9856882","77.5435424","#6, Thimmaiah Layout, 1st Main 3rd D Cross, 3rd Stage, 2nd Block"
"Trupti Nursing Home","hospital","12.9946566","77.5397544","No. 463, 1st Block, 3Road Stage, Dr.Siddaiah Puranika Road, Basaveshwaranagear"
"Srivijaya Speciality Hospital","hospital","13.0124345","77.6580271","No. 699, 3Road Main Road,Bhuvanagiri Layout,(O.M.B.R),Doddabanasawadi"
"Magnus Diagnostic Lab","hospital","12.9349187","77.6305022",""
"Krupa Medical center","hospital","13.000431","77.5411664",""
"Soukya Hospital","hospital","13.0774744","77.5587548","17, Nti Layout, Vidyaranyapura"
"Greenview Medical Center","hospital","12.9191813","77.6381379","14th Main Rd, opposite Agara Lake, Sector 5, 1st Sector, HSR Layout, Bengaluru, 560102"
"Vaidyaratnam Oushadhasala","hospital","12.9121004","77.6485848",""
"Blossoms Hospital","hospital","12.9064393","77.6308237",""
"Live100","hospital","12.8791713","77.6454925",""
"ESi Hospital","hospital","13.0077936","77.6923101","Old Madras Road, K.R Puram"
"Happy Tooth","hospital","12.9744193","77.5336479","Vijayanagar Water Tank Road, Bangalore, 560040"
"Rishi Women and Child Clinic","hospital","12.9745812","77.532699","Vijayanagar Water Tank Road, Bangalore, 560040"
"Penta Care Ayurvedic Hospital","hospital","12.9736894","77.5369482","Vijayanagar Water Tank Road, Bangalore, 560040"
"Shalini Nursing & MAternity Home","hospital","12.9436624","77.5419997","6th Main Road, Bangalore, 560085"
"Shreya Poly Clinic","hospital","12.9729127","77.5394723","6th Main, Bangalore, 560040"
"Anurag Medical Center","hospital","12.9612829","77.5271683","4th Main Road, Bangalore"
"United Medical lab","hospital","13.0007683","77.6132902",""
"Pragathi Ayurvedic Center","hospital","12.9843701","77.555666",""
"Narayana Hrudayalaya Dental Clinic","hospital","12.9231571","77.6728066",""
"Vatsalya Chidren's Clinic","hospital","12.8948505","77.6109105",""
"Kottakkal Arya Vaidya Sala","hospital","12.9002599","77.6271003",""
"Sharavathi Hospitals (P) Ltd.","hospital","12.9623406","77.5342853","No.1133/F,30 Ft.Service Road, R.P.C. Layout,Vijaynagar"
"Dr.Agarwal's Eye Hospital Ltd, Padmanabha Nagar","hospital","12.9169288","77.5592568","No. 30, Pavana Dhama, 80 Feet Main Road,Opposite Nilgiris,Padmanabha Nagar"
"Shraddha Eye Care","hospital","12.9184617","77.5555842","Thimmaiah Road, Padmanabhanagar, Bengaluru"
"Vasan Eye Care Hospital, Rajarajeswari Nagar","hospital","12.931334","77.5154779","#483, 16 Th Cross, 8 Th Main"
"Cloud Nine Fertility","hospital","12.9055088","77.5858347","24th Main, 5th Phase, Opp Nandini Hotel, Puttenhalli, JP Nagar, bangalore, 560078"
"Aikya Healthcare","hospital","12.8827229","77.5466715","Kanakapura Road, Bangalore, 560062"
"Konanakunte Government Hospital","hospital","12.8840897","77.5664029","PARK, NEAR PARK"
"Cloud Nine Hospital","hospital","12.9878709","77.7319773","Whitefield Main Road, Bangalore, 560066"
"Telerad Rx Dx Health Care Whitefield","hospital","12.9768424","77.7103746","Mahadevapura, Bangalore, 560048"
"Motherhood Hospital(Unit Of Rhea Healthcare Pvt Ltd)","hospital","12.9784409","77.6375845","No. 324, Cmh Road Indiranagar 1st Stage Next To Vijaya Bank Building"
"Respiratory and womens health clinic.","hospital","12.9762645","77.6376528",""
"Rashmi Hospital","hospital","12.9766951","77.6362278","Indiranagar Double Road (Paramahansa Yogananda road)"
"Netradama Eye Hospital","hospital","12.9734836","77.6357281",""
"Sree Venkateshwara Speciality Hospital","hospital","12.9425246","77.6025303","1, 1st Cross, Gupta Layout,Lakksandra, Near Dairy Circle"
"Leela Hospital and Diagnostic Center","hospital","13.0002667","77.5694894","# 133, Margosa Road,10Th Cross, Malleshwaram"
"Dr. Rajkumar Blood Bank","hospital","12.968031","77.5878222",""
"Nelivigi Eye Hospital","hospital","12.9241818","77.6737518","446/21 Above Vijaya Bank, Opposite To Amba Bajaja Showroom"
"Sanghi Medical Centre (P) Ltd","hospital","12.9517397","77.6994832",""
"Sri Sai Krupa Hospital, Bengaluru Urban","hospital","13.0294181","77.5593857","No. 19/A, Opposite Lic , Mathikere Main Road"
"ALDOS Medical Service Pvt LTD","hospital","12.9826672","77.6381036",""
"Government Hospital","hospital","12.8870605","77.603414",""
"Rajashree Granthim hospital","hospital","12.8893134","77.602422",""
"Krishna Nursing Home","hospital","12.9474222","77.5986921",""
"Shifa Hospital, Bengaluru Urban","hospital","12.9900105","77.5988107","Queens Road"
"Milann Fertility Center","hospital","12.9159249","77.5856011","Jayanagar, J P Nagar, Bengaluru"
"Gift IVF center","hospital","12.962951","77.6418711",""
"HCG Cancer Hospital","hospital","12.9603157","77.5930493","44-45/2, 2nd Cross Raja Rammohan Roy Extn Off Lalbagh Double Road"
"Health Care Global","hospital","12.9584755","77.5919279",""
"Gulecha Dental Care","hospital","12.9292418","77.5893625","4th Cross Road, KV Layout, Jayanagar 4th Block, Bangalore, 560011"
"N/A","hospital","12.9767055","77.5424167","8th cross"
"Rajbal Skin Clinic","hospital","13.0206063","77.6445361","4th B cross, 7th C Main, Bangalore, 560043"
"Prashanth Hospital","hospital","12.9066637","77.6287463","90-D, Bommanahalli Circle, Hosur road"
"Dianova Diabetes Center and Hospital","hospital","13.0147612","77.6335463",""
"Ameena Medical centre","hospital","12.9777082","77.6323407","18th Cross Road"
"Dr.Agarwal Eye & Dental Hospital","hospital","12.9700356","77.6362439",""
"SRL Diagnostics","hospital","12.9599306","77.7160447",""
