lat,long,image,image_thumb,category,created_at,uuid
12.8919,77.5988,https://ik.imagekit.io/blrpotholes/1752384240976-n6fw4kmglccjpeg_2BrHqrrNS3,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384240976-n6fw4kmglccjpeg_2BrHqrrNS3,1,2025-07-13T05:24:03.455Z,abf06043-65a3-4d1c-85d7-89cb113781a2
12.891399999999999,77.59854166666666,https://ik.imagekit.io/blrpotholes/1752384240703-bts3gfpddy6jpeg_YqCTzTWgg-,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384240703-bts3gfpddy6jpeg_YqCTzTWgg-,2,2025-07-13T05:24:03.397Z,d4a48d27-e153-4b50-98a6-f56fd0eea686
12.891502777777777,77.59857222222222,https://ik.imagekit.io/blrpotholes/1752384241097-gmqh8cekhwmjpeg_HrsSL9r1tb,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384241097-gmqh8cekhwmjpeg_HrsSL9r1tb,2,2025-07-13T05:24:03.455Z,907912c7-9468-4b5e-bf52-81fab389ba1a
12.892125,77.59883888888888,https://ik.imagekit.io/blrpotholes/1752384240700-t0lv4m6uqqjpeg_TugQ5LZ3o,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384240700-t0lv4m6uqqjpeg_TugQ5LZ3o,3,2025-07-13T05:24:03.363Z,8070be00-ffbe-43b2-a329-208bb38c9365
12.885294444444444,77.59668055555555,https://ik.imagekit.io/blrpotholes/1752384102393-83z6szt0u48jpeg_seUPBITMBu,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384102393-83z6szt0u48jpeg_seUPBITMBu,1,2025-07-13T05:21:44.569Z,d14d7b30-ca33-4cfa-a2d8-38d2e3bcb857
12.886766666666666,77.5969611111111,https://ik.imagekit.io/blrpotholes/1752384102094-woykph52ohbjpeg_9TwRQc9XdN,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384102094-woykph52ohbjpeg_9TwRQc9XdN,1,2025-07-13T05:21:44.495Z,baa233d0-152c-4471-91d6-a26eeed4d7fd
12.885575,77.59671666666667,https://ik.imagekit.io/blrpotholes/1752384102093-xttc6rp77najpeg_PDs2RoEJIq,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384102093-xttc6rp77najpeg_PDs2RoEJIq,1,2025-07-13T05:21:44.396Z,e59632bd-1913-4415-9df0-38aee0f03de0
12.8855,77.5967111111111,https://ik.imagekit.io/blrpotholes/1752384102092-kaeykqfn4kgjpeg_Y0j0rrrBJu,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384102092-kaeykqfn4kgjpeg_Y0j0rrrBJu,2,2025-07-13T05:21:44.254Z,62f498ac-be39-40f6-a578-bc11ccf9bcaa
12.885125,77.59664166666666,https://ik.imagekit.io/blrpotholes/1752384101512-om5mihg396ajpeg_3XC3VMhik,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384101512-om5mihg396ajpeg_3XC3VMhik,1,2025-07-13T05:21:44.191Z,351f0e88-63d8-4a76-8f8b-fe2fd5f5d2e2
12.886911111111111,77.59700833333333,https://ik.imagekit.io/blrpotholes/1752384101514-624fxwjou4mjpeg_t_lowJ2x36,https://ik.imagekit.io/blrpotholes/tr:n-ik_ml_thumbnail/1752384101514-624fxwjou4mjpeg_t_lowJ2x36,2,2025-07-13T05:21:44.263Z,5cbfce08-9234-4099-a66a-de8abd48c90c
